well_id,date,oil_rate,gas_rate,water_cut,bottomhole_pressure
WELL_1,2020-01-01,120,300,0.15,250
WELL_1,2020-02-01,115,295,0.16,248
WELL_1,2020-03-01,110,290,0.17,246
WELL_1,2020-04-01,105,285,0.18,244
WELL_1,2020-05-01,100,280,0.19,242
WELL_1,2020-06-01,95,275,0.20,240
WELL_1,2020-07-01,90,270,0.21,238
WELL_1,2020-08-01,85,265,0.22,236
WELL_1,2020-09-01,80,260,0.23,234
WELL_1,2020-10-01,75,255,0.24,232
WELL_2,2020-01-01,200,500,0.10,300
WELL_2,2020-02-01,195,495,0.11,298
WELL_2,2020-03-01,190,490,0.12,296
WELL_2,2020-04-01,185,485,0.13,294
WELL_2,2020-05-01,180,480,0.14,292
WELL_2,2020-06-01,175,475,0.15,290
WELL_2,2020-07-01,170,470,0.16,288
WELL_2,2020-08-01,165,465,0.17,286
WELL_2,2020-09-01,160,460,0.18,284
WELL_2,2020-10-01,155,455,0.19,282
WELL_3,2020-01-01,80,200,0.20,180
WELL_3,2020-02-01,78,198,0.21,179
WELL_3,2020-03-01,76,196,0.22,178
WELL_3,2020-04-01,74,194,0.23,177
WELL_3,2020-05-01,72,192,0.24,176
WELL_3,2020-06-01,70,190,0.25,175
WELL_3,2020-07-01,68,188,0.26,174
WELL_3,2020-08-01,66,186,0.27,173
WELL_3,2020-09-01,64,184,0.28,172
WELL_3,2020-10-01,62,182,0.29,171 